"species","grids"
"Utricularia_australis","v17227"
"Vicia_cracca","v17227"
"Vicia_unijuga","v17227"
"Viola_acuminata","v17227"
"Viola_chaerophylloides","v17227"
"Viola_rossii","v17227"
"Acer_palmatum","v17228"
"Acer_triflorum","v17228"
"Aconitum_jaluense","v17228"
"Actinidia_arguta","v17228"
"Adenocaulon_himalaicum","v17228"
"Aeschynomene_indica","v17228"
"Alangium_platanifolium","v17228"
"Amaranthus_tricolor","v17228"
"Amorpha_fruticosa","v17228"
"Anagallis_arvensis","v17228"
"Androsace_umbellata","v17228"
"Angelica_decursiva","v17228"
"Angelica_polymorpha","v17228"
"Artemisia_gmelinii","v17228"
"Artemisia_keiskeana","v17228"
"Asarum_sieboldii","v17228"
"Cardamine_leucantha","v17228"
"Cardamine_lyrata","v17228"
"Carpinus_cordata","v17228"
"Carpinus_turczaninowii","v17228"
"Celastrus_flagellaris","v17228"
"Ceratophyllum_demersum","v17228"
"Cercis_chinensis","v17228"
"Chelidonium_majus","v17228"
"Chionanthus_retusus","v17228"
"Clerodendrum_japonicum","v17228"
"Cornus_controversa","v17228"
"Cornus_kousa","v17228"
"Corydalis_incisa","v17228"
"Corydalis_turtschaninovii","v17228"
"Crataegus_pinnida","v17228"
"Crepidiastrum_chelidoniifolium","v17228"
"Dianthus_longicalyx","v17228"
"Draba_nemorosa","v17228"
"Euphorbia_maculata","v17228"
"Euryale_ferox","v17228"
"Flueggea_suffruticosa","v17228"
"Fraxinus_chinensis","v17228"
"Galium_verum","v17228"
"Geranium_sibiricum","v17228"
"Hepatica_nobilis","v17228"
"Hypericum_japonicum","v17228"
"Isodon_excisus","v17228"
"Lamium_amplexicaule","v17228"
"Leibnitzia_anandria","v17228"
"Lespedeza_cyrtobotrya","v17228"
"Lindera_obtusiloba","v17228"
"Lobelia_chinensis","v17228"
"Lonicera_japonica","v17228"
"Ludwigia_prostrata","v17228"
"Lysimachia_barystachys","v17228"
"Maackia_floribunda","v17228"
"Metaplexis_japonica","v17228"
"Myriophyllum_verticillatum","v17228"
"Nasturtium_officinale","v17228"
"Nymphoides_indica","v17228"
"Orostachys_japonica","v17228"
"Ostericum_grosseserratum","v17228"
"Parthenocissus_tricuspidata","v17228"
"Paulownia_tomentosa","v17228"
"Pilea_pumila","v17228"
"Plantago_asiatica","v17228"
"Potentilla_freyniana","v17228"
"Pseudostellaria_palibiniana","v17228"
"Pterocarya_stenoptera","v17228"
"Pyrus_ussuriensis","v17228"
"Quercus_acutissima","v17228"
"Quercus_aliena","v17228"
"Quercus_mongolica","v17228"
"Quercus_variabilis","v17228"
"Ranunculus_sceleratus","v17228"
"Ribes_fasciculatum","v17228"
"Rorippa_indica","v17228"
"Rorippa_islandica","v17228"
"Rubus_pungens","v17228"
"Salix_babylonica","v17228"
"Salix_pierotii","v17228"
"Salvia_plebeia","v17228"
"Sanguisorba_officinalis","v17228"
"Sanicula_chinensis","v17228"
"Silene_firma","v17228"
"Staphylea_bumalda","v17228"
"Stellaria_alsine","v17228"
"Thlaspi_arvense","v17228"
"Trapa_natans","v17228"
"Trifolium_repens","v17228"
"Ulmus_davidiana","v17228"
"Utricularia_australis","v17228"
"Vicia_cracca","v17228"
"Vicia_unijuga","v17228"
"Viola_acuminata","v17228"
"Viola_chaerophylloides","v17228"
"Viola_rossii","v17228"
"Zelkova_serrata","v17228"
"Acer_palmatum","v17229"
"Actinidia_arguta","v17229"
"Adenocaulon_himalaicum","v17229"
"Amaranthus_tricolor","v17229"
"Amorpha_fruticosa","v17229"
"Anagallis_arvensis","v17229"
"Androsace_umbellata","v17229"
"Angelica_decursiva","v17229"
"Angelica_polymorpha","v17229"
"Artemisia_gmelinii","v17229"
"Artemisia_keiskeana","v17229"
"Asarum_sieboldii","v17229"
"Cardamine_leucantha","v17229"
"Cardamine_lyrata","v17229"
"Carpinus_cordata","v17229"
"Celastrus_flagellaris","v17229"
"Ceratophyllum_demersum","v17229"
"Cercis_chinensis","v17229"
"Chelidonium_majus","v17229"
"Chionanthus_retusus","v17229"
"Clerodendrum_japonicum","v17229"
"Cornus_controversa","v17229"
"Cornus_kousa","v17229"
"Corydalis_incisa","v17229"
"Corydalis_turtschaninovii","v17229"
"Crataegus_pinnida","v17229"
"Crepidiastrum_chelidoniifolium","v17229"
"Dianthus_longicalyx","v17229"
"Draba_nemorosa","v17229"
"Elsholtzia_ciliata","v17229"
"Euphorbia_maculata","v17229"
"Euryale_ferox","v17229"
"Flueggea_suffruticosa","v17229"
"Fraxinus_chinensis","v17229"
"Fraxinus_sieboldiana","v17229"
"Galium_verum","v17229"
"Geranium_sibiricum","v17229"
"Hepatica_nobilis","v17229"
"Hypericum_japonicum","v17229"
"Isodon_excisus","v17229"
"Isodon_japonicus","v17229"
"Lamium_amplexicaule","v17229"
"Leibnitzia_anandria","v17229"
"Lindera_obtusiloba","v17229"
"Lobelia_chinensis","v17229"
"Lonicera_japonica","v17229"
"Ludwigia_prostrata","v17229"
"Lysimachia_barystachys","v17229"
"Myriophyllum_verticillatum","v17229"
"Nasturtium_officinale","v17229"
"Nuphar_pumila","v17229"
"Nymphoides_indica","v17229"
"Ostericum_grosseserratum","v17229"
"Parthenocissus_tricuspidata","v17229"
"Paulownia_tomentosa","v17229"
"Pilea_pumila","v17229"
"Plantago_asiatica","v17229"
"Potentilla_freyniana","v17229"
"Pseudostellaria_palibiniana","v17229"
"Pterocarya_stenoptera","v17229"
"Pyrus_ussuriensis","v17229"
"Quercus_acutissima","v17229"
"Quercus_aliena","v17229"
"Quercus_mongolica","v17229"
"Quercus_variabilis","v17229"
"Ribes_fasciculatum","v17229"
"Rorippa_indica","v17229"
"Rorippa_islandica","v17229"
"Rubus_pungens","v17229"
"Salix_babylonica","v17229"
"Salix_chaenomeloides","v17229"
